VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_duration_min
1,2019-01-06 01:57:41,2019-01-06 01:57:41,1,2.8,1,N,50,50,1,10.5,0.5,0.5,1.5,0.0,0.3,13.3,,0.0
1,2019-01-06 03:11:23,2019-01-06 03:11:23,0,4.7,1,N,140,140,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,,0.0
2,2019-01-06 15:49:02,2019-01-06 15:49:02,1,0.01,1,N,264,146,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
1,2019-01-06 15:15:08,2018-11-09 02:34:38,1,3.3,1,Y,100,79,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8,,-84280.5
2,2019-01-06 16:35:11,2019-01-06 16:35:11,2,0.01,3,N,264,264,2,20.0,0.0,0.0,0.0,0.0,0.3,20.3,,0.0
1,2019-01-06 17:27:39,2019-01-06 17:27:39,1,11.2,1,N,138,164,1,61.66,0.0,0.5,0.0,0.0,0.3,62.46,,0.0
2,2019-01-06 21:53:08,2019-01-06 21:53:08,1,0.15,5,N,211,211,1,63.0,0.0,0.0,5.0,0.0,0.0,68.0,,0.0
1,2019-01-06 22:04:21,2019-01-06 22:04:21,0,4.4,1,N,261,261,1,15.5,0.5,0.5,3.35,0.0,0.3,20.15,,0.0
2,2019-01-07 00:00:00,2019-01-07 00:00:00,2,2.39,1,N,163,263,1,9.5,0.5,0.5,1.08,0.0,0.3,11.88,,0.0
1,2019-01-07 09:29:09,2019-01-07 09:29:09,1,13.4,1,N,132,97,1,59.55,0.0,0.5,0.0,0.0,0.3,60.35,,0.0
1,2019-01-07 15:27:21,2019-01-07 15:27:21,1,17.2,1,N,138,21,1,63.75,0.0,0.5,0.0,0.0,0.3,64.55,,0.0
1,2019-01-07 16:50:08,2019-01-07 16:50:08,1,0.5,1,N,143,143,2,4.0,1.0,0.5,0.0,0.0,0.3,5.8,,0.0
1,2019-01-07 16:50:09,2019-01-07 16:50:09,1,0.5,1,N,143,143,2,2.5,1.0,0.5,0.0,0.0,0.3,4.3,,0.0
1,2019-01-07 23:35:17,2019-01-07 23:35:17,1,1.2,1,N,223,223,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,0.0
2,2019-01-08 06:49:08,2019-01-08 06:49:08,2,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-08 12:58:47,2019-01-08 12:58:47,1,0.01,2,N,264,264,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,0.0
1,2019-01-08 14:21:32,2019-01-08 14:21:32,2,18.0,2,N,230,132,1,62.55,0.0,0.5,0.0,0.0,0.3,63.35,,0.0
1,2019-01-08 16:21:47,2019-01-08 16:21:47,1,0.5,1,N,162,162,1,4.0,1.0,0.5,1.15,0.0,0.3,6.95,,0.0
2,2019-01-08 00:00:00,2019-01-08 00:00:00,2,0.8,1,N,234,90,1,4.5,0.5,0.5,0.29,0.0,0.3,6.09,,0.0
2,2019-01-08 21:33:27,2019-01-08 21:33:27,2,0.01,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
2,2019-01-08 00:00:00,2019-01-08 00:00:00,2,1.04,1,N,237,140,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,0.0
1,2019-01-09 09:54:54,2019-01-09 09:54:54,1,0.9,1,N,170,170,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8,,0.0
1,2019-01-09 12:34:43,2019-01-09 12:34:43,1,1.4,1,N,68,68,1,9.0,0.0,0.5,1.2,0.0,0.3,11.0,,0.0
2,2019-01-09 12:57:01,2019-01-09 12:57:01,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-09 00:00:00,2019-01-09 00:00:00,2,0.5,1,N,132,161,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96,,0.0
2,2019-01-09 15:52:07,2019-01-09 15:52:07,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-09 17:17:03,2019-01-09 17:17:03,1,0.01,1,N,264,264,2,2.5,1.0,0.5,0.0,0.0,0.3,4.3,,0.0
1,2019-01-09 19:07:52,2019-01-09 19:07:52,1,0.8,1,N,237,237,1,6.0,1.0,0.5,1.95,0.0,0.3,9.75,,0.0
2,2019-01-09 21:03:38,2019-01-09 21:03:38,1,0.04,1,N,264,132,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
2,2019-01-10 01:52:08,2019-01-10 01:52:08,1,12.2,1,N,61,129,2,89.5,0.5,0.5,0.0,0.0,0.3,90.8,,0.0
2,2019-01-10 01:27:14,2019-01-10 01:27:14,1,0.02,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.0
2,2019-01-10 04:47:52,2019-01-10 04:47:52,1,0.01,5,N,264,138,1,39.0,0.0,0.0,5.0,0.0,0.0,44.0,,0.0
1,2019-01-10 11:45:03,2019-01-10 11:45:03,2,1.4,1,N,230,230,1,10.0,0.0,0.5,2.15,0.0,0.3,12.95,,0.0
1,2019-01-10 12:57:22,2019-01-10 12:57:22,0,1.0,1,N,236,236,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,,0.0
1,2019-01-10 14:47:16,2019-01-10 14:47:16,1,1.1,1,N,68,68,1,7.5,0.0,0.5,1.65,0.0,0.3,9.95,,0.0
2,2019-01-10 14:00:09,2019-01-10 14:00:09,1,0.03,1,N,264,138,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-10 13:24:28,2019-01-10 13:24:28,1,0.01,1,N,264,264,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,0.0
2,2019-01-10 17:32:59,2019-01-10 17:32:59,1,1.61,1,N,264,264,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3,,0.0
